A5 0.0  360.0  150.1
A6 0.0  360.0  150.1
A7 0.0  360.0  150.1
A8 0.0  360.0  150.1
A9 0.0  360.0  150.1
A10 0.0  360.0  150.1
A11 0.0  360.0  150.1
A12 0.0  360.0  150.1
A13 0.0  360.0  150.1
A14 0.0  360.0  150.1
A15 0.0  360.0  150.1
A16 0.0  360.0  150.1
A17 0.0  360.0  150.1
A18 0.0  360.0  150.1
A19 0.0  0.0  150.1
A20 0.0  359.7313692886231  150.1
A21 0.0  359.9924665342619  150.1
A22 0.0  359.8864408307151  150.1
A23 0.0  360.0  150.1
A24 0.0  360.0  150.1
A25 0.0  0.0  150.1
A1 -0.05022912967746005  360.0  150.11
A2 0.0  360.0  150.11
A3 0.0  360.0  150.11
A4 0.0  360.0  150.11
A5 0.0  360.0  150.11
A6 0.0  360.0  150.11
A7 0.0  360.0  150.11
A8 0.0  360.0  150.11
A9 0.0  360.0  150.11
A10 0.0  360.0  150.11
A11 0.0  360.0  150.11
A12 0.0  360.0  150.11
A13 0.0  360.0  150.11
A14 0.0  360.0  150.11
A15 0.0  360.0  150.11
A16 0.0  360.0  150.11
A17 0.0  360.0  150.11
A18 0.0  360.0  150.11
A19 0.0  0.0  150.11
A20 0.0  359.7313692886231  150.11
A21 0.0  359.9924665342619  150.11
A22 0.0  359.8864408307151  150.11
A23 0.0  360.0  150.11
A24 0.0  360.0  150.11
A25 0.0  0.0  150.11
A1 -0.07041858341515736  360.0  150.12
A2 0.0  360.0  150.12
A3 0.0  360.0  150.12
A4 0.0  360.0  150.12
A5 0.0  360.0  150.12
A6 0.0  360.0  150.12
A7 0.0  360.0  150.12
A8 0.0  360.0  150.12
A9 0.0  360.0  150.12
A10 0.0  360.0  150.12
A11 0.0  360.0  150.12
A12 0.0  360.0  150.12
A13 0.0  360.0  150.12
A14 0.0  360.0  150.12
A15 0.0  360.0  150.12
A16 0.0  360.0  150.12
A17 0.0  360.0  150.12
A18 0.0  360.0  150.12
A19 0.0  0.0  150.12
A20 0.0  359.7313692886231  150.12
A21 0.0  359.9924665342619  150.12
A22 0.0  359.8864408307151  150.12
A23 0.0  360.0  150.12
A24 0.0  360.0  150.12
A25 0.0  0.0  150.12
A1 -0.0959930384803499  360.0  150.13
A2 0.0  360.0  150.13
A3 0.0  360.0  150.13
A4 0.0  360.0  150.13
A5 0.0  360.0  150.13
A6 0.0  360.0  150.13
A7 0.0  360.0  150.13
A8 0.0  360.0  150.13
A9 0.0  360.0  150.13
A10 0.0  360.0  150.13
A11 0.0  360.0  150.13
A12 0.0  360.0  150.13
A13 0.0  360.0  150.13
A14 0.0  360.0  150.13
A15 0.0  360.0  150.13
A16 0.0  360.0  150.13
A17 0.0  360.0  150.13
A18 0.0  360.0  150.13
A19 0.0  0.0  150.13
A20 0.0  359.7313692886231  150.13
A21 0.0  359.9924665342619  150.13
A22 0.0  359.8864408307151  150.13
A23 0.0  360.0  150.13
A24 0.0  360.0  150.13
A25 0.0  0.0  150.13
A1 -0.12776429827865735  360.0  150.14
A2 0.0  360.0  150.14
A3 0.0  360.0  150.14
A4 0.0  360.0  150.14
A5 0.0  360.0  150.14
A6 0.0  360.0  150.14
A7 0.0  360.0  150.14
A8 0.0  360.0  150.14
A9 0.0  360.0  150.14
A10 0.0  360.0  150.14
A11 0.0  360.0  150.14
A12 0.0  360.0  150.14
A13 0.0  360.0  150.14
A14 0.0  360.0  150.14
A15 0.0  360.0  150.14
A16 0.0  360.0  150.14
A17 0.0  360.0  150.14
A18 0.0  360.0  150.14
A19 0.0  0.0  150.14
A20 0.0  359.7313692886231  150.14
A21 0.0  359.9924665342619  150.14
A22 0.0  359.8864408307151  150.14
A23 0.0  360.0  150.14
A24 0.0  360.0  150.14
A25 0.0  0.0  150.14
A1 -0.1665792157877213  360.0  150.15
A2 0.0  360.0  150.15
A3 0.0  360.0  150.15
A4 0.0  360.0  150.15
A5 0.0  360.0  150.15
A6 0.0  360.0  150.15
A7 0.0  360.0  150.15
A8 0.0  360.0  150.15
A9 0.0  360.0  150.15
A10 0.0  360.0  150.15
A11 0.0  360.0  150.15
A12 0.0  360.0  150.15
A13 0.0  360.0  150.15
A14 0.0  360.0  150.15
A15 0.0  360.0  150.15
A16 0.0  360.0  150.15
A17 0.0  360.0  150.15
A18 0.0  360.0  150.15
A19 0.0  0.0  150.15
A20 0.0  359.7313692886231  150.15
A21 0.0  359.9924665342619  150.15
A22 0.0  359.8864408307151  150.15
A23 0.0  360.0  150.15
A24 0.0  360.0  150.15
A25 0.0  0.0  150.15
A1 -0.21331520343864932  360.0  150.16
A2 0.0  360.0  150.16
A3 0.0  360.0  150.16
A4 0.0  360.0  150.16
A5 0.0  360.0  150.16
A6 0.0  360.0  150.16
A7 0.0  360.0  150.16
A8 0.0  360.0  150.16
A9 0.0  360.0  150.16
A10 0.0  360.0  150.16
A11 0.0  360.0  150.16
A12 0.0  360.0  150.16
A13 0.0  360.0  150.16
A14 0.0  360.0  150.16
A15 0.0  360.0  150.16
A16 0.0  360.0  150.16
A17 0.0  360.0  150.16
A18 0.0  360.0  150.16
A19 0.0  0.0  150.16
A20 0.0  359.7313692886231  150.16
A21 0.0  359.9924665342619  150.16
A22 0.0  359.8864408307151  150.16
A23 0.0  360.0  150.16
A24 0.0  360.0  150.16
A25 0.0  0.0  150.16
A1 -0.2688757763828508  360.0  150.17
A2 0.0  360.0  150.17
A3 0.0  360.0  150.17
A4 0.0  360.0  150.17
A5 0.0  360.0  150.17
A6 0.0  360.0  150.17
A7 0.0  360.0  150.17
A8 0.0  360.0  150.17
A9 0.0  360.0  150.17
A10 0.0  360.0  150.17
A11 0.0  360.0  150.17
A12 0.0  360.0  150.17
A13 0.0  360.0  150.17
A14 0.0  360.0  150.17
A15 0.0  360.0  150.17
A16 0.0  360.0  150.17
A17 0.0  360.0  150.17
A18 0.0  360.0  150.17
A19 0.0  0.0  150.17
A20 0.0  359.7313692886231  150.17
A21 0.0  359.9924665342619  150.17
A22 0.0  359.8864408307151  150.17
A23 0.0  360.0  150.17
A24 0.0  360.0  150.17
A25 0.0  0.0  150.17
A1 -0.334186139124222  360.0  150.18
A2 0.0  360.0  150.18
A3 0.0  360.0  150.18
A4 0.0  360.0  150.18
A5 0.0  360.0  150.18
A6 0.0  360.0  150.18
A7 0.0  360.0  150.18
A8 0.0  360.0  150.18
A9 0.0  360.0  150.18
A10 0.0  360.0  150.18
A11 0.0  360.0  150.18
A12 0.0  360.0  150.18
A13 0.0  360.0  150.18
A14 0.0  360.0  150.18
A15 0.0  360.0  150.18
A16 0.0  360.0  150.18
A17 0.0  360.0  150.18
A18 0.0  360.0  150.18
A19 0.0  0.0  150.18
A20 0.0  359.7313692886231  150.18
A21 0.0  359.9924665342619  150.18
A22 0.0  359.8864408307151  150.18
A23 0.0  360.0  150.18
A24 0.0  360.0  150.18
A25 0.0  0.0  150.18
A1 -0.41018882503055915  360.0  150.19
A2 0.0  360.0  150.19
A3 0.0  360.0  150.19
A4 0.0  360.0  150.19
A5 0.0  360.0  150.19
A6 0.0  360.0  150.19
A7 0.0  360.0  150.19
A8 0.0  360.0  150.19
A9 0.0  360.0  150.19
A10 0.0  360.0  150.19
A11 0.0  360.0  150.19
A12 0.0  360.0  150.19
